_id,url,word_count,section,date,type,headline,abstract,article
nyt://article/6e66e06a-5408-5347-b444-26ba65d3e75e,https://dealbook.nytimes.com/2010/02/22/goldman-said-to-take-new-steps-to-polish-image/,195,Business Day,2010-02-22T12:20:25+0000,Business,Goldman Said to Take New Steps to Polish Image,"Goldman Sachs has hired a public relations firm to help repair its tattered image, as insiders and clients worry about the effect the endless bad publicity may take on its profits, The New York Post reported.",
nyt://article/603dae30-dded-543f-ad9f-ad0bcbadbc68,https://dealbook.nytimes.com/2010/01/08/gm-hires-alixpartners-to-wind-down-saab/,286,Business Day,2010-01-08T16:09:08+0000,Business,G.M. Hires AlixPartners to Wind Down Saab,"General Motors took another step toward winding down its Saab brand by hiring the consulting firm AlixPartners to supervise the process, even as bidders are emerging for the Swedish marque.",
nyt://article/983ed05e-25c4-52e2-83be-61f3c277f706,https://dealbook.nytimes.com/2010/01/26/genii-withdraws-from-bidding-for-saab/,264,Business Day,2010-01-26T09:05:05+0000,Business,Genii Withdraws From Bidding for Saab,"Genii Capital, the investment company, has withdrawn from the bidding for General Motors’ unit Saab, leaving Spyker Cars as the sole remaining bidder to rescue the ailing Swedish auto brand.",
nyt://article/c62998da-b545-55e2-a6bb-f94206912314,https://green.blogs.nytimes.com/2010/01/20/forest-carbon-offsets-in-the-ozarks/,361,Business Day,2010-01-20T15:17:12+0000,,Forest Carbon Offsets in the Ozarks,"Two offsets companies announced last week that they’ve joined forces to develop carbon offsets on 300,000 acres of forest land in the Ozark mountain region.",
nyt://article/9333b3d5-f806-55c3-872e-d3ac90eeda06,https://economix.blogs.nytimes.com/2010/03/31/parents-at-work/,202,Business Day,2010-03-31T23:27:26+0000,Business,Parents at Work,"The portion of American children living in households where all parents work has nearly doubled in the last few decades, a new White House report finds.",
nyt://article/2de158ee-8879-516c-8468-cf3ed6dcc4c2,https://dealbook.nytimes.com/2010/01/13/ubss-new-code-of-ethics-for-employees/,130,Business Day,2010-01-13T11:27:46+0000,Business,UBS’s New Code of Ethics for Employees,"UBS released a new ethics guidebook for its employees Tuesday, taking a stand on financial crimes, especially tax evasion, as it seeks to get itself back on course after a year of legal troubles.",
nyt://article/cc1ea0e1-f8af-5b31-b979-973f467156b0,https://mediadecoder.blogs.nytimes.com/2010/01/31/cnn-names-candy-crowley-new-sunday-anchor/,172,Business Day,2010-01-31T15:05:42+0000,Media,CNN Names Candy Crowley New Sunday Anchor,"CNN has named Candy Crowley the new anchor of “State of the Union,” the cable news channel’s Sunday morning political talk program.",
nyt://article/3540f06b-42a5-5df3-9764-120cf3f371e0,https://mediadecoder.blogs.nytimes.com/2010/03/18/speed-read-for-thursday-march-18/,88,Business Day,2010-03-18T12:41:25+0000,Media,"Speed Read for Thursday, March 18","Google TV, Christiane Amanpour close to ABC deal and a new digitally minded chief executive at Barnes & Noble.",
nyt://article/902f42aa-8c78-57ca-ac11-634e9eb6dedc,https://mediadecoder.blogs.nytimes.com/2010/01/26/borders-ceo-resigns/,215,Business Day,2010-01-26T15:06:13+0000,Media,Borders C.E.O. Resigns,Ron Marshall resigns as chief executive of Borders Group.,
nyt://article/5991ae75-6ec7-509b-b3f9-03119f951753,https://mediadecoder.blogs.nytimes.com/2010/02/18/wednesday-olympics-coverage-expected-to-outdraw-idol/,387,Business Day,2010-02-18T15:45:27+0000,Media,Update: Wednesday’s Olympics Coverage Tops ‘Idol’,"Based on the overnight household numbers, NBC’s coverage of the Winter Olympics on Wednesday night was expected to trounce “American Idol” in the ratings, the first time that will have happened since 2004.",
nyt://article/09d6ed40-b1fd-5e4f-ac5c-22a28dbbdff2,https://dealbook.nytimes.com/2010/03/19/many-calls-for-avoiding-repeat-of-bank-bailouts/,763,Business Day,2010-03-19T04:10:22+0000,Business,Many Calls for Avoiding Repeat of Bank Bailouts,The idea of requiring giant banks to develop contingency plans that would spell out their orderly demise in a financial crisis is gaining support from major international regulators. Go to Article from The New York Times>>,
nyt://article/13786479-1023-5b90-8539-44ab554b33a5,https://dealbook.nytimes.com/2010/01/25/swiss-not-yet-handed-over-ubs-client-data-report/,280,Business Day,2010-01-25T11:36:14+0000,Business,Swiss Have Yet to Hand Over UBS Client Data,"Switzerland has not yet handed over data on clients of UBS to the U.S. authorities as part of a probe into possible tax evasion among wealthy bank customers, a government spokesman said.",
nyt://article/8acc329c-a1a6-59f7-80fd-0ec552a118f0,https://dealbook.nytimes.com/2010/03/29/democrats-try-to-split-bankers-on-financial-bill/,543,Business Day,2010-03-29T18:25:14+0000,Business,Democrats Try to Split Bankers on Financial Bill,"The battle over financial regulatory overhaul continues to heat up, with Senate Democrats accusing industry lobbyists of improperly portraying community banks as victims of the financial regulatory legislation, when Wall Street is writing the checks to halt the bill.",
nyt://article/e25ea4fb-b096-583e-9765-979f2975ce21,https://dealbook.nytimes.com/2010/02/12/lloyds-sells-esure-back-to-founder/,554,Business Day,2010-02-12T09:58:56+0000,Business,Lloyds Sells Esure Back to Founder,"Lloyds Banking Group has sold its majority stake in esure, one of Britain’s largest providers of home and car insurance, as part of its plan to offload noncore units after a merger with rival lender HBOS.",
nyt://article/587a75ac-056e-5ea4-a5d1-2784d81c43df,https://green.blogs.nytimes.com/2010/02/18/of-national-security-and-climate-change/,161,Business Day,2010-02-18T15:34:44+0000,,Of National Security and Climate Change,"The Pew Project on National Security, Energy and Climate released a short video featuring military voices expressing concern over the national security implications of climate change.",
nyt://article/e8102790-d98a-55b4-9f3c-1b5cfcea9919,https://rendezvous.blogs.nytimes.com/2010/03/16/debriefing-the-bahrain-grand-prix/,972,World,2010-03-16T21:03:17+0000,,Debriefing the Bahrain Grand Prix,"Shortly after the Formula One season opener ended in Bahrain, everyone seemed to have opinion on how the racing could be improved.",
nyt://article/6cc9665f-bb67-5a24-8260-f68dd9291aba,https://mediadecoder.blogs.nytimes.com/2010/01/27/critical-darling-ugly-betty-is-canceled/,331,Business Day,2010-01-28T03:38:21+0000,Media,Critical Darling ‘Ugly Betty’ Is Canceled,The critical darling “Ugly Betty” is cancelled after several years of declining ratings.,
nyt://article/84efab39-bb22-5f48-ba81-3614f78e8af1,https://mediadecoder.blogs.nytimes.com/2010/02/15/barbara-walters-ending-oscar-night-specials/,47,Business Day,2010-02-15T19:57:32+0000,Media,Barbara Walters Ending Oscar-Night Specials,Her celebrity sit-downs have been a staple of Academy Awards nights since 1981.,
nyt://article/ee616882-887b-5035-990d-947eab9c1ac1,https://dealbook.nytimes.com/2010/02/18/citi-said-to-trip-in-sale-of-real-estate-unit/,121,Business Day,2010-02-18T12:58:51+0000,Business,Citi Said to Face Objections in Sale of Real Estate Unit,"Citigroup is said to face obstacles auctioning off it real estate asset management unit, sources told Reuters.",
nyt://article/baaf8dce-5097-50a4-9a6d-7adc8ed9ad8f,https://dealbook.nytimes.com/2010/01/25/bankers-face-a-harsh-spotlight-in-davos/,1120,Business Day,2010-01-25T07:26:53+0000,Business,Bankers Face a Harsh Spotlight in Davos,"With a global economic recovery under way, the financial elite will not be in hiding as they were last year, when only a comparative handful showed up in Davos, Switzerland, for the annual World Economic Forum. But they will still be on the defensive.",
nyt://article/b55aba4d-4d3a-522d-9105-e6ded0969bea,https://dealbook.nytimes.com/2010/03/30/ireland-lays-out-a-plan-to-help-rescue-its-banks/,842,Business Day,2010-03-30T20:05:12+0000,Business,Ireland Lays Out a Plan to Help Rescue Its Banks,"Ireland announced sweeping measures on Tuesday to tighten control over the financial sector, which has been brought to its knees by the global crisis and the collapse of the Irish real estate market.",
nyt://article/76c21e78-dfc9-53de-b98e-5b2fba2a5375,https://bits.blogs.nytimes.com/2010/02/04/tech-talk-podcast-navigating-the-sea-of-data-on-the-internet/,80,Technology,2010-02-04T23:21:18+0000,Business,Tech Talk Podcast: Navigating the Sea of Data on the Internet,"This week’s Tech Talk podcast examines controlled serendipity, Internet aggregation and the two major flavors of Microsoft’s Windows 7 operating system for PCs.",
nyt://article/596a1a17-e789-544d-868f-3739ad140e61,https://dealbook.nytimes.com/2010/01/15/mgm-said-to-forge-ahead-with-macau-ipo/,214,Business Day,2010-01-15T12:30:27+0000,Business,MGM Said to Forge Ahead With Macau I.P.O.,"MGM Mirage, the casino company whose counts Kirk Kerkorian as its largest shareholder is moving ahead with plans to list its Macau operations on the Hong Kong stock exchange, according to press reports.",
nyt://article/5cbe317d-db31-5c32-9fe0-78683db05085,https://dealbook.nytimes.com/2010/02/03/dodd-calls-obama-plan-too-ambitious/,976,Business Day,2010-02-03T07:30:06+0000,Business,Dodd Calls Obama Plan Too Ambitious,"Christopher J. Dodd, the chairman of the Senate Banking Committee, warned Paul A. Volcker on Tuesday that the Obama administration’s new proposals to rein in Wall Street firms ran the risk of derailing months of delicate negotiations over overhauling financial regulations.",
nyt://article/27b260f0-c295-5482-91b1-0c4ace081087,https://dealbook.nytimes.com/2010/01/19/are-luxury-retailers-ready-to-shop/,195,Business Day,2010-01-19T11:40:18+0000,Business,Are Luxury Retailers Ready to Shop?,Are luxury retailers gearing up for a little deal-making now that their clientele are returning to the stores?,
nyt://article/c2621bc0-e685-58f3-848a-b46fc0bc48cf,https://bits.blogs.nytimes.com/2010/03/17/crowdsourcing-the-n-c-a-a-tournament/,723,Technology,2010-03-17T23:10:27+0000,Business,Crowdsourcing the N.C.A.A. Tournament,"Yahoo has developed a crowdsourcing tool to predict bracket winners, especially surprise winners, in the N.C.A.A. men’s basketball tournament.",
nyt://article/9f4afc00-d831-58e6-92fa-ebbd1dadc3b7,https://bits.blogs.nytimes.com/2010/01/12/google-says-attack-from-china-was-aimed-at-dissidents/,169,Technology,2010-01-12T23:09:43+0000,Business,Google Threatens Pullout from China After Cyberattacks on Dissidents,Google said an attack on it and other services was aimed at Chinese dissidents.,
nyt://article/c2cb77ee-b8cc-5b85-a876-9981b4c0e891,https://dealbook.nytimes.com/2010/03/29/rio-tinto-employees-sentenced-in-bribery-case/,292,Business Day,2010-03-29T08:04:39+0000,Business,Rio Tinto Employees Sentenced in Bribery Case,"Four employees of the British-Australian mining giant Rio Tinto, including an Australian citizen, were convicted by a Chinese court on Monday and sentenced to seven to 14 years in prison for accepting millions of dollars in bribes and stealing commercial secrets.",
nyt://article/940a1f30-3303-5068-bb63-9519c153adc8,https://dealbook.nytimes.com/2010/02/01/wall-of-high-yield-debt-maturities-looms-moodys-says/,570,Business Day,2010-02-02T01:39:41+0000,Business,"Wall of Junk Debt Maturities Looms, Moody’s Says","The boom in the high-yield debt markets has bought time and breathing space for companies needing extra financial flexibility. But that has come at a cost, according to the latest annual report by Moody’s Investors Service: more than $700 billion comes due between 2012 and 2014.",
nyt://article/b3d8e8cd-7e99-5fb9-ab1c-a4341c885ebf,https://bucks.blogs.nytimes.com/2010/01/12/the-different-fraud-protections-for-signatures-and-pins/,729,Your Money,2010-01-12T18:01:34+0000,,The Different Fraud Protections for Signatures and PINs,Here’s a look at the different protections available for fraudulent signature and PIN debit card transactions.,
nyt://article/60b805c0-0b31-5bbd-aa31-63cbc76ad67d,https://dealbook.nytimes.com/2010/03/19/senate-republicans-oppose-honey-pot-for-bailouts/,182,Business Day,2010-03-19T08:40:29+0000,Business,Senate Republicans Oppose ‘Honey Pot’ for Bailouts,"A top Senate Republican said on Thursday that setting up a fund to help unwind large troubled firms may perpetrate the assumption that some financial firms will always be rescued by the U.S. government, Reuters reported.",
nyt://article/802bb771-6775-5746-8656-a596d82b514d,https://dealbook.nytimes.com/2010/03/17/4-banks-face-trial-in-italy-over-interest-rate-swaps/,607,Business Day,2010-03-17T20:25:37+0000,Business,4 Banks Face Trial in Italy Over Interest-Rate Swaps,"An Italian judge on Wednesday ordered JPMorgan Chase, Deutsche Bank, UBS and a banking unit of the German company Hypo Real Estate Holding to stand trial for fraud in their handling of interest rate swaps acquired by the city of Milan in 2005.",
nyt://article/2fd6842c-266d-5440-8f6b-c32e6d41d45b,https://bucks.blogs.nytimes.com/2010/02/01/monday-reading-14/,302,Your Money,2010-02-01T14:35:36+0000,,Monday Reading,"Why e-book prices are rising, creative ways to avoid baggage fees and other consumer-focused items from Monday’s Times.",
nyt://article/f2480ff3-ab32-5e6e-975e-6b55aeeeffdf,https://dealbook.nytimes.com/2010/03/26/wisconsin-quarantines-64-billion-in-ambac-assets/,188,Business Day,2010-03-26T08:53:50+0000,Business,Wisconsin Quarantines $64 Billion in Ambac Assets,"State regulators in Wisconsin said they are taking control of roughly $64 billion of the worst assets at the bond insurer Ambac Financial Group, Reuters reports.",
nyt://article/f0aa1564-a710-5286-94c9-e45192f9988e,https://dealbook.nytimes.com/2010/01/20/berkshire-holders-approve-50-to-1-stock-split/,186,Business Day,2010-01-20T18:37:24+0000,Business,Berkshire Holders Approve 50-to-1 Stock Split,"Berkshire Hathaway said Wednesday that its shareholders had approved splitting the company’s class B shares 50-for-1 as part of the company’s $26.3 billion acquisition of Burlington Northern Santa Fe, the nation’s second-largest railroad.",
nyt://article/e8325ead-6714-5441-95d4-04a7924614dd,https://dealbook.nytimes.com/2010/03/18/huge-dai-ichi-i-p-o-could-lift-japanese-market/,1178,Business Day,2010-03-18T12:36:03+0000,Business,Huge Dai-ichi I.P.O. Could Lift Japanese Market,"If things go according to plan, the Japanese insurance group Dai-Ichi Mutual Life would on April 1 stage the world’s largest stock market debut since Visa’s listing two years ago, raising around $12 billion.",
nyt://article/78280b1e-2f56-58f8-996d-47dc28a9e544,https://dealbook.nytimes.com/2010/03/04/sachs-an-adviser-to-geithner-plans-to-step-down/,470,Business Day,2010-03-04T14:48:13+0000,Business,"Sachs, an Aide to Geithner, to Step Down at Treasury","Lewis A. Sachs, a trusted adviser to Treasury Secretary Timothy F. Geithner, plans to step down later this spring after more than a year spearheading the government’s crisis response effort.",
nyt://article/84412b15-2c3e-5cb6-8c4b-a1e248118a2b,https://dealbook.nytimes.com/2010/02/25/alongside-volvo-deal-geely-to-acquire-zhongyu-auto/,118,Business Day,2010-02-25T10:42:48+0000,Business,"Alongside Volvo Deal, Geely to Acquire Zhongyu Auto","The parent company of Geely Automobile Holdings said Thursday that it plans to buy Chinese special vehicle maker Zhejiang Zhongyu Automobile as it moves to expand its product portfolio, Reuters reported.",
nyt://article/4dbfb056-f36f-5d9b-91fa-f6746c9d2f9d,https://gadgetwise.blogs.nytimes.com/2010/01/19/how-to-send-money-to-haiti-relief-via-text/,161,Technology,2010-01-19T12:46:28+0000,,How to Send Money to Other Charities Using Text,"A foundation makes it possible to make charitable donations, not just to Haiti relief, through a text message.",
nyt://article/aa696c21-a10c-5413-b7d4-28c2e8a2c784,https://boss.blogs.nytimes.com/2010/02/02/gop-links-jobs-plan-to-tax-increase-on-the-wealthy/,373,Business Day,2010-02-02T23:37:44+0000,Business,G.O.P. Links Jobs Plan to Tax Increase on the Wealthy,"“Certainty and confidence are essential ingredients that we need to strengthen the economy,” said Senator Olympia Snowe of Maine.",
nyt://article/d5d8bdc9-30eb-5efa-a665-94f5fdc00c4a,https://dealbook.nytimes.com/2010/02/08/is-lionsgate-also-stalking-miramax/,289,Business Day,2010-02-08T12:22:33+0000,Business,Is Lionsgate Also Stalking Miramax?,"Lionsgate, the independent movie studio tipped as a potential bidder for Metro-Goldwyn-Mayer, intends to table an “aggressive” offer for Miramax, which was recently put on the block by the Walt Disney Company, The New York Post reported.",
nyt://article/4eaa11e9-06fb-5e95-bf44-70cd81769341,https://bits.blogs.nytimes.com/2010/01/06/we-are-all-gadget-nerds-now/,141,Technology,2010-01-06T15:47:10+0000,Business,‘We Are All Gadget Nerds Now’,"David Carr, on Media Decoder, writes that the new technologies we use to consume media are collectively changing the balance of programming and consumer.",
nyt://article/043c3248-bddb-5f29-90ed-917cf87ce97b,https://dealbook.nytimes.com/2010/03/23/phillips-van-heusen-profit-beats-forecasts-in-quarter/,168,Business Day,2010-03-23T07:06:57+0000,Business,Phillips-Van Heusen Profit Beats Quarter’s Forecasts,"Phillips-Van Heusen, the apparel maker, posted earnings that beat Wall Street expectations, boosted by the strength of its Calvin Klein brand around the world, Reuters reported.",
nyt://article/5e2c1df9-426c-59af-88a1-9abcd843ae5e,https://bucks.blogs.nytimes.com/2010/02/25/thursday-reading-17/,244,Your Money,2010-02-25T15:27:19+0000,,Thursday Reading,"Why job loss can make you sick, hotels now offer free exercise videos and other consumer-focused items from Thursday’s Times.",
nyt://article/9a95d9a4-b233-5721-855a-9ee19789eafc,https://green.blogs.nytimes.com/2010/03/16/a-compostable-chips-bag-hits-the-shelves/,393,Business Day,2010-03-16T14:45:30+0000,,A Compostable Chips Bag Hits the Shelves,"Questions remain, however, about whether or not the bags, which are made from corn, will ever make it to the compost heap.",
nyt://article/3331c293-96ac-5cd7-a530-928774a7a1f3,https://dealbook.nytimes.com/2010/03/18/programmers-indicted-in-madoff-case/,234,Business Day,2010-03-18T08:18:41+0000,Business,Programmers Indicted in Madoff Case,"Two former computer programmers at Bernard L. Madoff’s firm were indicted Wednesday by a federal grand jury in Manhattan, Bloomberg News reported.",
nyt://article/4d332226-7309-5788-a89c-c5760cb6eb7c,https://bucks.blogs.nytimes.com/2010/03/30/answers-about-new-consumer-laws-part-5/,1116,Your Money,2010-03-30T19:06:37+0000,,Answers About New Consumer Laws: Part 5,Our expert answers reader questions on the credit card law and other new consumer rules and regulations.,
nyt://article/3ac30cf3-c40d-5b7e-bbf2-40b50d6ede66,https://green.blogs.nytimes.com/2010/01/08/qa-brookings-expert-on-energy-policy/,740,Business Day,2010-01-08T19:44:33+0000,,Q&A: Brookings Expert on Energy Policy,"Charles Ebinger of the Brookings Institution in Washington talks about the Obama administration’s energy policy, which he assessed in a recent essay.",
nyt://article/ddb707e4-c86e-5d6e-a636-ca0c34679699,https://bits.blogs.nytimes.com/2010/01/13/microsoft-and-hewlett-packard-make-a-really-big-deal/,544,Technology,2010-01-13T19:26:14+0000,Business,Microsoft and Hewlett-Packard Make a Really Big Deal,Microsoft and H.P. have broadened their already broad partnership to sell more technology together.,
nyt://article/93d4ec07-f151-53c8-b5dc-1f0a499f162a,https://mediadecoder.blogs.nytimes.com/2010/02/04/fox-files-more-suits-against-alleged-dvd-pirates/,373,Business Day,2010-02-04T22:14:04+0000,Media,Fox Files More Suits Claiming DVD Piracy,Fox has filed suit against dozens more people it claims sold illegally downloaded versions of some of its films.,
nyt://article/8c3244f8-e0a7-5b5a-84ee-664b545be757,https://dealbook.nytimes.com/2010/02/01/citi-plans-sale-of-private-equity-unit-report-says/,132,Business Day,2010-02-01T09:26:00+0000,Business,Citi Said to Plan Sale of Private Equity Unit,"Citigroup plans to sell or spin off its $10 billion Citi Private Equity unit in order to cut debt, Bloomberg News reported.",
nyt://article/021b40df-bf6d-55b4-bd0f-dd1a9251773d,https://gadgetwise.blogs.nytimes.com/2010/03/16/qa-powering-a-laptop-overseas/,223,Technology,2010-03-16T12:19:53+0000,,Q&A: Powering a Laptop Overseas,"You may not need a power converter when you take your laptop overseas, but you may need a plug adapter.",
nyt://article/78a85912-2f3d-5759-a55c-86ee2ddabfb4,https://bits.blogs.nytimes.com/2010/01/21/microsoft-plugs-security-hole-used-in-december-attacks/,575,Technology,2010-01-21T19:24:30+0000,Business,Microsoft Plugs Security Hole Used in Attacks on Google,Microsoft released an emergency software update for its Internet Explorer browser to block one method hackers used to attack Google and other companies last month.,
nyt://article/48a5385d-7dd8-5ec6-8d85-00346e5ef28d,https://dealbook.nytimes.com/2010/01/26/with-chinas-rise-comes-conflict-with-west/,179,Business Day,2010-01-26T14:14:37+0000,,With China’s Rise Comes Conflict With West,"China’s rise will be on prominent display in Davos this week, with the biggest Chinese delegation in the World Economic Forum’s history.",
nyt://article/f9ee9c4f-a108-5af1-8252-b0597ea2561c,https://dealbook.nytimes.com/2010/03/19/time-warner-said-to-mull-2nd-bid-for-mgm/,111,Business Day,2010-03-19T07:56:23+0000,Business,Time Warner Said to Mull 2nd Bid for MGM,"Time Warner is considering make a second-round bid of up to $1.5 billion for storied Hollywood studio Metro-Goldwyn-Mayer ahead of a March 19 deadline, a source familiar with the situation told Reuters on Thursday.",
nyt://article/9199ce0a-7462-595f-bc41-63cfb0f91bcd,https://atwar.blogs.nytimes.com/2010/01/29/leaving-nebraska-for-iraq/,919,World,2010-01-29T18:41:19+0000,Foreign,Leaving Nebraska for Iraq,"Why a 49-year-old woman from Lincoln, Nebraska, left the rolling plains for the red zone.",
nyt://article/3fb30d45-7b74-5a85-8113-3c2d85ae0613,https://economix.blogs.nytimes.com/2010/03/02/the-state-of-the-job-market-and-of-inventories/,68,Business Day,2010-03-03T02:30:09+0000,Business,The State of the Job Market — and of Inventories,Explaining the country’s employment deficit: 10.6 million jobs and growing.,
nyt://article/444893aa-58d1-584a-b3c8-3c9b9b08adc0,https://boss.blogs.nytimes.com/2010/01/08/modcloth/,1081,Business Day,2010-01-08T15:44:18+0000,,Modcloth Shows How to Win by Losing,"What cost them a win, they say now, was their written business plan which they slapped together and submitted at the last minute. But they stuck with it anyway.",
nyt://article/1015f155-541f-595c-8532-214fdc006dad,https://mediadecoder.blogs.nytimes.com/2010/02/11/syfy-enters-the-childrens-programming-business/,362,Business Day,2010-02-11T17:18:58+0000,Media,Syfy Enters the Children’s Programming Business,NBC Universal is dipping its toe into the enormous children’s entertainment business through its Syfy cable channel.,
nyt://article/b9cae280-2317-586c-b602-f42751022793,https://dealbook.nytimes.com/2010/01/26/alcon-shareholders-push-novartis-on-bid/,101,Business Day,2010-01-26T10:23:06+0000,Business,Alcon Shareholders Push Novartis on Bid,"Novartis’s bid to buy out minority shareholders in Alcon does not fairly value their holdings, one of the largest investors in the eyecare group said.",
nyt://article/267d5cb0-472f-5305-b83e-e3ce38d3abb7,https://dealbook.nytimes.com/2010/03/16/renault-and-daimler-said-to-discuss-share-swap/,332,Business Day,2010-03-16T10:53:26+0000,Business,Renault and Daimler Said to Discuss Share Swap,"Renault and Daimler, the two European carmakers long in talks to collaborate more extensively, may be considering going as far as a share swap, though the discussions are said to be stalled because of a disagreement over valuations.",
nyt://article/73efda9e-1a4c-57ed-ae29-df2f0c0aa66f,https://economix.blogs.nytimes.com/2010/01/12/more-bad-job-news/,66,Business Day,2010-01-12T18:34:22+0000,Business,More Bad Job Market News,"For every job opening in November, there were 6.35 people out of work, a record high.",
nyt://article/5c3fc78c-c26a-5afe-80f1-e63af5aac6b8,https://bits.blogs.nytimes.com/2010/03/31/kleiner-perkins-pledges-money-for-ipad-developers/,421,Technology,2010-03-31T19:13:04+0000,Business,Kleiner Perkins Pledges Money for iPad Developers,Kleiner Perkins Caufield & Byers is doubling its iFund to $200 million to invest in iPhone and iPad app developers.,
nyt://article/5846c1ab-5bfe-58be-b856-a1f61ba0b621,https://dealbook.nytimes.com/2010/03/25/canadian-banking-is-not-the-answer/,118,Business Day,2010-03-25T19:51:41+0000,Business,Canadian Banking Is Not the Answer,From Economix: Canada’s concentrated megabanking system is often held up as a model for why Americans shouldn’t worry about their own large banks. Two economists explain why this thinking is wrong.,
nyt://article/9b9f7b3e-0ff0-542d-bbff-9a762f17ffdc,https://economix.blogs.nytimes.com/2010/03/03/why-old-people-should-love-immigrants/,327,Business Day,2010-03-03T20:38:45+0000,Business,Why Old People Should Love Immigrants,"Immigrants may or may not compete with Americans for jobs, but they do help keep the Social Security system solvent.",
nyt://article/706f989f-a9fe-594c-8649-a444c574258a,https://green.blogs.nytimes.com/2010/01/07/qa-googles-green-energy-czar/,2577,Business Day,2010-01-07T13:32:04+0000,,Q&A: Google’s Green Energy Czar,"“As a society, we have chosen to invest too little in alternative energy,” said Bill Weihl, who steers Google’s clean energy endeavors.",
